名字,性别,时间,评论,点赞数,回复数
Leebuling,男,2020-06-05 08:57:45,虽然干活免不了受伤，不过还是要多注意啊！！！[大哭],0,0
苏柘,保密,2020-06-05 08:53:30,子柒仙女有没有可能上向往的生活啊[捂眼],1,0
childe008,男,2020-06-05 08:51:06,统计了一下，从499万到587万，涨粉88万，用时一个多月！,0,0
鸡汤君大苏,男,2020-06-05 08:50:07,好讲究啊，越来越不接地气了，不过我喜欢[doge],1,0
泠崖mmp,男,2020-06-05 08:46:30,姐姐好美呀[热词系列_AWSL],0,0
我就是喜欢换来换去,保密,2020-06-05 08:42:37,6月3号是个好日子，好多我关注的up都在那天更新了视频,0,0
夏木sensen,保密,2020-06-05 08:39:41,我最爱吃土豆[酸了][酸了][酸了][酸了]可是要减肥[酸了][酸了][酸了][酸了],0,0
今天也要加油的小田子,女,2020-06-05 08:29:20,是绵阳人没谁了，手法一毛一样,0,0
怎么总是明晨,保密,2020-06-05 08:20:02,终于更新了,0,0
xu可可西里,女,2020-06-05 08:19:54,顺便蹲一个萨沙[捂眼],0,0
-学海无涯,男,2020-06-05 08:18:07,早上好,0,0
黎雾迷津,男,2020-06-05 08:16:55,在成都我叫我爸老猴儿[微笑]老汉,0,0
远哥哥-axl,男,2020-06-05 08:16:49,哇哦，吃虾地手法好娴熟，一掰就去壳了,0,0
绅士之面具,保密,2020-06-05 08:12:56,陕西人表示漏了洋芋叉叉[吃瓜],0,0
学习使我无限快乐,保密,2020-06-05 07:54:35,让我想起小时候跟着老妈去种土豆，也是这样种的,0,0
猪猪的七色花,保密,2020-06-05 07:34:44,土豆我的本命,0,0
双面燕洵wu,保密,2020-06-05 06:57:13,第一次看李子柒的视频，觉得她这种生活会不会被打扰到,0,0
莲困闹,保密,2020-06-05 06:13:38,结局有点感概，那一杯是给老汉儿的吧，土豆丝也叫想念土豆丝,0,0
Zz能不能离我远点,保密,2020-06-05 06:13:38,姐姐手怎么了？？？我看到有一段包扎着！,0,0
度余生-共清欢,保密,2020-06-05 05:57:57,看啥都想吃，馋了[打call][打call],0,0
麦子娃,男,2020-06-05 05:45:48,每次看你的视频都有一种莫名的感慨    希望你一直做下去,0,0
我是喵星人K,保密,2020-06-05 05:24:29,没人求水晶杯在哪里买么[微笑][微笑],1,0
龙少女的药,保密,2020-06-05 05:14:03,那么细的土豆丝，刀工了得,0,0
御灵朝汐,男,2020-06-05 03:36:59,有一说一，本来子柒姐姐的视频看着挺好的，总有些弹幕挺烦人的[无语],0,0
吼我就是力量的化身,男,2020-06-05 03:19:17,来了来了,0,0
涂山岚凤,女,2020-06-05 03:15:41,弯刀切土豆丝 牛批,0,0
小小小小太阳er,保密,2020-06-05 02:54:25,调色太美了,0,0
阿疯_AFI,男,2020-06-05 02:31:09,我发现我家里我也有个李子柒[吃瓜]我妈,0,0
智树、sex,男,2020-06-05 02:30:12,哎 看了看 只会睡觉打呼噜的媳妇上去就是一脚[生气],1,0
