名字,性别,时间,评论,点赞数,回复数
墨卅,保密,2020-06-04 13:47:04,马铃薯＝土豆＝紫色土豆＝紫薯（四舍五入）[芮小凸小凹_哎][芮小凸小凹_666][芮小凸小凹_哼],1,0
o问灵o,保密,2020-06-04 13:42:47,哇！,0,0
沐悦青沼,保密,2020-06-04 13:40:41,送去桃子摘回李子，这不就是投桃报李吗，好有心的视频，将文化纳入视频中，感觉视频质量越来越好了[热词系列_三连],6,0
美国特色资本主义,保密,2020-06-04 13:37:50,就是你小子推动的土豆主粮化？？？[无语],0,0
我是团团啊,女,2020-06-04 13:35:44,土豆好吃，人也美。,0,0
兔拨鼠,保密,2020-06-04 13:29:50,我爱土豆！！,0,0
逸然-zyl,保密,2020-06-04 13:29:25,呜呜呜呜呜呜馋哭了要！！！子柒姐姐太棒了！！！！手要注意保养！！！！虽然受伤在所难免但还是希望你一切平安！！！,0,0
Carrie0113,保密,2020-06-04 13:29:06,在没有吃饭的时候看子柒的视频真是……现在就点外卖！[热词系列_AWSL],0,0
爱仙儿爱排骨,女,2020-06-04 13:29:01,柒柒你切慢点,0,0
ここは泥さんです,保密,2020-06-04 13:26:47,仙女您下凡辛苦辽！！！,0,0
苜蓿葳蕤,女,2020-06-04 13:26:25,仙女牛批,0,0
啊呐呐芽,保密,2020-06-04 13:26:11,婆婆最后说你老汉儿（你爸）最爱吃土豆丝，我瞬间泪目[热词系列_泪目],0,0
水波不兴fzq,男,2020-06-04 13:25:42,贵州人表示从小就喜欢吃炸洋芋粑，炸麻辣洋芋，从来不厌倦！,0,0
叶子不会悲伤,保密,2020-06-04 13:24:34,谁能告诉我，她家用的黄色的是什么油呀,0,0
The-Shit,保密,2020-06-04 13:24:34,我的吉祥数学:柒,0,0
蘧然将至,女,2020-06-04 13:22:39,真绝了，我眼泪不争气的流下了嘴角，吃不到柒姐做的菜，我气抖冷[大哭],0,0
Tower-XX,保密,2020-06-04 13:22:14,@李子柒，好想看一集绵阳米粉[热词系列_真香],0,0
平山填海-,保密,2020-06-04 13:22:10,家里什么都有的仙女,1,0
差太远了太松懈了,保密,2020-06-04 13:21:05,月更子柒姑娘的视频看前必先点赞，看后必投币,0,0
旧人酒人啾人,保密,2020-06-04 13:20:54,也就只有刀工跟柒差不多了,1,0
尘一鱼,保密,2020-06-04 13:20:50,"我们这叫马铃薯（用白话发音）广州那边又叫番薯，去福建打暑假工那边他们叫地瓜、地豆，在贵州读书时候他们管这叫洋芋、洋芋头

[2233娘_大笑][2233娘_大笑][2233娘_大笑]",1,0
努力工作的帅哥非,保密,2020-06-04 13:20:26,外面视屏都是丑国的暴乱，只有这里能找回一丝平静,1,1
空中劈叉的睿智女舰长,女,2020-06-04 13:19:07,还让不让我活啊[大哭]，我在减肥，已经一个月没吃洋芋了，我要疯了！！！！,0,0
城南花已开52cx,女,2020-06-04 13:18:20,姐姐我真的太爱你了,0,0
小蓝的秘密花园,女,2020-06-04 13:17:00,这期的滤镜太重了,0,1
格瑞金,女,2020-06-04 13:15:58,我喜欢土豆哈哈哈哈哈,0,0
我不盗啊,男,2020-06-04 13:14:13,那个虾饺馋死我了,0,0
筱悠橙汐,女,2020-06-04 13:13:14,土豆爱好者狂喜,0,0
番石榴不吃番茄,女,2020-06-04 13:11:36,我超级爱吃土豆，不管怎么做都很好吃。,0,0
清蒲歌,保密,2020-06-04 13:11:29,复习连续播放，试图当成白噪音[热词系列_爱了爱了],0,0
陌陌笙顼,保密,2020-06-04 13:10:34,我太爱土豆了[喜欢]小时候真的是被土豆养活了,1,0
封闭货车请开门,保密,2020-06-04 13:09:10,不会有人不爱吃土豆吧？不会吧,1,0
开心啦happy,保密,2020-06-04 13:07:20,现在的视频都越做越用心了,0,0
烊烊家的小马褂,保密,2020-06-04 13:06:36,手受伤了吗，保护好自己啊,0,0
Kerr错丶觉,保密,2020-06-04 13:05:02,米其林摆盘,0,0
Youngalaxy,保密,2020-06-04 13:03:38,真的馋死我了,0,0
一个不留肾,保密,2020-06-04 13:02:57,还有紫色的土豆长见识了了,0,0
小花皮球,保密,2020-06-04 13:02:34,啊…土豆啊土豆…,0,0
-_-十八-_-,保密,2020-06-04 13:02:26,华农让我问一下你村在哪,3,0
sweet可爱多,女,2020-06-04 13:02:21,我们这次语法填空考到了姐姐，做到的时候超级开心[喜欢],0,0
涂小草,保密,2020-06-04 13:01:29,萨沙是什么梗？,0,1
124355665,保密,2020-06-04 13:00:59,这一期应该艾特萨沙[doge],0,0
Dian_Jiao,保密,2020-06-04 13:00:57,子柒子柒告诉我，为什么你的视频能在中国走红国外强势圈粉[doge],1,0
南妄笙,保密,2020-06-04 13:00:47,不要再说她的视屏不真实了，看的就是这份不真实。知道什么叫做艺术加工吗，这么安静的视屏，静心观赏就好，别老是咋咋咋的，事多= =,0,0
守护天龙人,保密,2020-06-04 13:00:15,子柒子柒，起名第一[妙啊],1,0
圆脸的暴击-,女,2020-06-04 12:59:47,超级棒,0,0
梧桐昨夜西风急,保密,2020-06-04 12:58:58,土豆也能吃出花样来啊[喜欢],0,0
chiotttopxxxl,女,2020-06-04 12:56:34,我最喜欢土豆🥔,1,0
吾若星尘,男,2020-06-04 12:56:31,我柒,0,0
竹肝斗斗,男,2020-06-04 12:56:21,老年人不能吃那么油的,0,0
长鼻子乌索普9,保密,2020-06-04 12:55:56,我也好想能再跟我婆婆在一起做做农活、歇歇凉、煮一餐很久不吃的饭菜。过这样普普通通的一天，可是再也不能了。,0,0
一只努力画画的大白鲨,女,2020-06-04 12:55:39,土豆！！我最爱,0,0
搞笑艺人郑泰吴,保密,2020-06-04 12:55:29,作为四川人，听到hen子真的倍感亲切啊，小姐姐应该也很喜欢吃enter～（樱桃）[调皮],1,1
不知佐罗,男,2020-06-04 12:54:13,[滑稽][滑稽],0,0
夜月一晨,男,2020-06-04 12:53:43,土豆蹲~土豆蹲~土豆蹲完了土豆蹲[妙啊],0,0
蹲在南国街角吃兔子,保密,2020-06-04 12:53:27,爱姐姐[喜欢]，超级喜欢看姐姐的视频~[tv_点赞],0,0
不会赖床的李林溪,男,2020-06-04 12:53:07,李子柒的生活肯定不是现实的农村生活(本人农村娃)，但真的是我理想中的农村生活啊。谢谢姐姐，让我知道这世上真有人过着我理想中的生活。尽管只是看看，也能给我疲惫的生活带来很多慰藉，谢谢啦,0,0
长长叔,保密,2020-06-04 12:52:36,李子柒亿中无一,1,0
星云日月,保密,2020-06-04 12:51:24,我发现李子奇长得一般吧，滤镜一开都是神仙啊,0,0
时光不旧只是满落灰尘,保密,2020-06-04 12:51:05,我是个准土豆星人，吃了十几年的土豆还是天天吃的那种。其实我很挑食，我妈妈都很好奇为什么我唯独吃土豆吃不腻[OK],0,0
新浪微傅,男,2020-06-04 12:50:33,土豆哪里去挖？,0,0
肀卿YUQIN,保密,2020-06-04 12:49:57,"🙌没有人
👐比我
👌更懂
👆土豆👀",0,0
来聊五块钱的,保密,2020-06-04 12:48:21,土豆吃多了老放屁。别问我是知道的。[呆],0,0
花贰娘,保密,2020-06-04 12:47:23,洋芋疙瘩，洋芋肉[沈剑心_滑稽],0,0
请叫我小姐姐叭,女,2020-06-04 12:47:14,我们文综考试考的姐姐了,1,0
喵了一点,保密,2020-06-04 12:47:11,来了～子柒太勤劳了[喜欢],0,0
哔哩-吱吱,男,2020-06-04 12:46:39,你们老婆切到手指了，心疼不[抠鼻],3,0
-拿铁不加糖-,女,2020-06-04 12:46:24,随便小龙虾，想念土豆丝，我太爱了,0,0
小风嘤,保密,2020-06-04 12:45:56,看到邻居家白发苍苍的老人想起了我奶奶，眼眶都湿润了[委屈],0,0
雁门酸奶冻,保密,2020-06-04 12:45:25,花草茶那儿的杯子好好看啊！！想问问有没有同款链接鸭[星星眼],0,0
影音追忆,保密,2020-06-04 12:45:01,女票手受伤了，难受,0,0
bili_95093219722,保密,2020-06-04 12:44:44,太强了,0,0
闪卡再爱我一次,女,2020-06-04 12:44:12,今天的阅读题就是你啊啊啊啊姐姐[妙啊],0,0
SonoAda,女,2020-06-04 12:43:33,姐姐是仙女！,0,0
撞羊君,保密,2020-06-04 12:42:26,萨沙狂喜,0,0
EMMA张1,女,2020-06-04 12:41:05,"我的天那
真的绝了",0,0
难民杂鱼,保密,2020-06-04 12:39:35,那么问题来了，一共用了多少口锅[doge],0,1
贤惠嘻,保密,2020-06-04 12:39:32,@萨沙,1,0
不知道該改什麼名字,男,2020-06-04 12:39:26,我也想种土豆   可惜我家菜的不适合土豆生长,0,0
进击的申昜,保密,2020-06-04 12:38:56,小龙虾：我觉得我有点随便，都不配拥有姓名[疑惑],1,0
江上晚本晚,女,2020-06-04 12:38:39,最后碰一下敬的茶真的泪目,0,0
Tonyem,保密,2020-06-04 12:37:53,BGM：种土豆，种土豆，种完土豆地里收,0,0
深蓝蓝丶,男,2020-06-04 12:37:48,。这砍刀用的也太牛了吧,0,0
六月和菌,男,2020-06-04 12:37:18,很喜欢你的土豆呀，好会做菜，好想恰,0,0
污鱼鱼污啊,保密,2020-06-04 12:35:30,育碧服务器是什么啊,0,0
uni_loser,女,2020-06-04 12:35:23,今天早上刚考完试，up出现在政治材料题了[热词系列_知识增加],0,0
猪有多胖我多胖,保密,2020-06-04 12:35:06,每期视频都会看哭[拥抱][热词系列_泪目],0,0
雪月无道,保密,2020-06-04 12:34:39,土豆要煮熟才能下地,0,0
甜茶茶茶茶茶茶茶,保密,2020-06-04 12:34:04,想吃,0,0
鰍鰍楸,保密,2020-06-04 12:33:54,唯一难吃的土豆大概是学校食堂的土豆吧,1,0
Youcanbefree,女,2020-06-04 12:33:52,你是仙女吗！！！[支持][爱心],0,0
mono鱼,保密,2020-06-04 12:33:42,喜欢炸洋芋[呲牙],0,0
莫得感情的吸欧机器人,保密,2020-06-04 12:33:12,姐姐更新了，好开心啊,0,0
真炜男就要干伪男,男,2020-06-04 12:32:29,三连已成习惯,0,0
御命の丹心,保密,2020-06-04 12:32:27,爱子柒爱生活[干杯],0,0
AngersLet,男,2020-06-04 12:31:33,听到奶奶的笑声真的很开心，我的奶奶以前每次见到放假回家的我也笑得这样开心，只恨当年年少，没来得及让她过上这样的生活。,0,0
白殇城的落寞,保密,2020-06-04 12:31:28,很喜欢这种视屏，希望千万不要插入广告之类的，净土就没了,0,0
威索-Xperia,男,2020-06-04 12:31:18,关闭弹幕食用,0,0
小惆怅丶,男,2020-06-04 12:30:11,太美啦,0,0
我6得要死,男,2020-06-04 12:30:10,什么[热词系列_知识增加]政治材料题，语文材料题，语文素材中的常见up出现了[热词系列_吹爆],1,0
yde0537,保密,2020-06-04 12:30:01,土豆种法不对,0,1
园园゜,保密,2020-06-04 12:29:29,是的 没有人不爱土豆,0,0
唐公子与凡开心,保密,2020-06-04 12:29:28,看柒柒视频，就是一种享受。,0,0
猫咪看书,女,2020-06-04 12:29:16,来了,0,0
匆匆之过路人,女,2020-06-04 12:27:48,标准格式：xx的一生[喜极而泣],0,0
卯兔星君,保密,2020-06-04 12:27:44,好舒服,0,0
小怪兽mm27,保密,2020-06-04 12:27:31,没有人不爱土豆！！！🥔,0,0
一枚正-太,男,2020-06-04 12:27:31,土豆开茉莉花嗎,0,0
sky_有风,保密,2020-06-04 12:27:12,我就知道来了来了！,0,0
竑蔚苍穹,女,2020-06-04 12:27:08,伤到手了[难过],0,0
I蓝忘机I,女,2020-06-04 12:27:01,自己种的土豆很好吃，那个皮一撕就掉了，小时候特别喜欢吃土豆,0,0
蔬菜土豆泥,保密,2020-06-04 12:26:29,李子柒先生的视频，几乎包含了所有人对中国农村美好生活的期待，美丽、惬意、无忧无虑。虽然现实不是这样，就像陶渊明的《桃花源记》一样，她把所有我们期待的梦，用视频的方式传递给每天忙碌的人们，让大家短暂的期待后，用更好的心态去工作，我喜欢这种视频。,0,0
DAYTOY_7,女,2020-06-04 12:25:39,乱炖[tv_斜眼笑][tv_斜眼笑]   (土豆块➕茄子块➕辣椒➕西红柿➕猪肉,1,0
DAYTOY_7,女,2020-06-04 12:24:50,乱炖   (土豆块➕茄子块➕辣椒➕西红柿➕猪肉,0,0
洛婷小兔,保密,2020-06-04 12:24:47,土豆，土豆，我爱吃土豆。这真的是我吃不腻的菜。我喜欢干锅土豆，炒的有点焦焦的，好吃,1,0
Brush_-,男,2020-06-04 12:24:42,人间真的存在桃花源吗。,0,0
学员君,男,2020-06-04 12:22:02,偶土豆   米奇妙妙屋开启～,0,0
比武鱼,女,2020-06-04 12:19:48,六个土豆泥、随便小龙虾。。。这名字起的越来越随便了。。[呲牙],1,0
大目小英子,保密,2020-06-04 12:19:19,来了，午休时间看,0,0
浅花芜杂,保密,2020-06-04 12:19:05,红烧肉啊,0,0
东坡肉萌萌哒,保密,2020-06-04 12:17:48,来了来了，我爱土豆[喜欢],0,0
法师medivh,男,2020-06-04 12:17:27,为什么在网上但凡一个妖艳贱货就会喷李子七？？@冯提莫,0,1
想过离开4,保密,2020-06-04 12:15:17,只想知道谁会嫁给她，一想到会有这样一男的可能会成她老公，而且现在还不知道在哪儿傻傻的啥都不知道未来会嫁给子柒，我就真想抽这不知道在哪儿的男人,0,0
最机智的胭醉,保密,2020-06-04 12:15:07,我外婆那农村里面土豆叫洋芋,0,1
七七77__,保密,2020-06-04 12:14:35,来了,0,0
我当然是小妖怪,女,2020-06-04 12:14:20,"云南的炸洋芋（宽油炸熟洋芋，拌辣椒面油辣子秘制辣子酱酸菜葱花蒜油花椒油盐味精等拌匀是香辣味，街头各家有的还加折耳根薄荷等香料，根据个人口味调配，容纳性强；味道有番茄味，原味，香辣味，五香味等，口味多变味道好吃，算是云南街头巷尾的名小吃，一条街最起码有个四五家，制作简单，可以试一下。）
老奶洋芋，土豆蒸熟/煮熟，压成泥，加辣椒葱花等调料翻炒芳香就可，适合老人吃，这道菜原来也是给老人做才创造出来的，口味下饭得很。
还有酸腌菜洋芋汤，也是特别下饭，吃起来可以吃好几碗饭。
我个人比较喜欢吃土豆泥，用奶油加土豆泥撒点一小点胡椒拌匀冷藏后看电影吃，太板扎啦，但是不适合所有人，有喜欢呢可以试试。",0,0
鸢槿,女,2020-06-04 12:13:54,"真就有那么多紫薯紫马铃薯不分，土豆，地瓜不分的人对着仙女评头论足吗？
不会吧不会吧？",1,1
穆穆49312,保密,2020-06-04 12:12:23,@萨沙,0,0
林俊杰的头号小迷妹,女,2020-06-04 12:12:17,@小萨666 宁的主场[doge],0,0
小森林F,保密,2020-06-04 12:11:50,投币后观看，养成好习惯[喜欢],0,0
众望归来,女,2020-06-04 12:11:33,豪华土豆盛宴,0,0
林俊杰的头号小迷妹,女,2020-06-04 12:10:59,@小萨超人666 宁的主场[doge],0,0
比武鱼,女,2020-06-04 12:09:53,6000 多人同时在看。。。其实我没在看，我是一边搞PS一边开着视频听音乐。,0,0
きつね-狐狸,男,2020-06-04 12:09:35,土豆，永远的神,1,0
yuca,保密,2020-06-04 12:08:52,土豆爱好者的狂欢,0,0
御凌啊,保密,2020-06-04 12:08:36,我切的土豆丝应该叫薯条[笑哭],0,0
菜菜可的无聊日常,女,2020-06-04 12:07:42,突然戳泪点,0,0
我的缪糕太甜了,保密,2020-06-04 12:07:02,好喜欢你的视频,0,0
植立僧,男,2020-06-04 12:07:02,有伤到手了，注意保护好自己啊！,0,0
罗丸喵,保密,2020-06-04 12:06:55,唯一一次种土豆好像就是小学班主任把家里吃剩的过期土豆发给我们[思考],0,1
啦啦咔16,保密,2020-06-04 12:06:14,我也爱吃土豆呀[星星眼][星星眼],0,0
Tower-XX,保密,2020-06-04 12:06:12,花式土豆吃法[tv_馋],1,0
-囧先森,保密,2020-06-04 12:05:32,爱你么么哒,0,0
李个大球球,保密,2020-06-04 12:05:03,等了好久终于等到你,1,0
小小的小小444,男,2020-06-04 12:04:29,小姐姐好看还不点个关注,1,0
河南呈,保密,2020-06-04 12:04:19,我不是吃货，我不懂的[嫌弃],0,0
Iam苏婆慢,女,2020-06-04 12:04:07,这一期视频顶我收藏栏里《土豆的100种吃法》中的好几种了。不错不错,0,0
扶苏千瑞,女,2020-06-04 12:03:53,呼唤土豆王子[doge],0,0
有点蓝朋友,保密,2020-06-04 12:03:34,假如宝儿姐有原型，那就之后可能是子柒了吧,0,0
我家猫是跑酷选手,保密,2020-06-04 12:03:27,有好多人说，这样的农村生活假，其实我想说，只要你想，你就可以过得很细致。房子的一砖一瓦，可以自己或和别人一起搭建，总会不用花太多钱为自己搭建虽然不算豪华但可以很舒适的屋子。庭院的一草一木，可以悉心种下，好好呵护，总会给你荫凉和景致。干农活为什么一定要穿得破烂，自己的衣服自己洗，管得着吗？,1,2
膜法世家官方账号,女,2020-06-04 12:02:50,没有人能够不爱土豆！！,0,0
帝伍火气大,保密,2020-06-04 12:02:28,"土豆哪里去挖，山里去挖，一挖一麻袋~
小时候我妈总拿这句逗我，说这是日语[大笑]",0,0
氧顾咩咩,女,2020-06-04 12:02:05,嗷嗷嗷！神仙姐姐,0,0
阿B好健康活泼,保密,2020-06-04 12:00:54,广东人表示我没有见过没有吃过这种紫土豆🥔，好想试试味道啊[笑],1,0
-白清欢-,保密,2020-06-04 12:00:01,这期太爱了,0,0
带不走的思念zz,保密,2020-06-04 11:59:28,子柒手咋了,0,0
睦世年华,男,2020-06-04 11:59:28,土豆焖鸭好吃,0,0
好好看个番,女,2020-06-04 11:59:11,好治愈啊（￣▽￣）,0,0
栗子吖lizi,女,2020-06-04 11:58:54,柒姐加油，爱宁[热词系列_爱了爱了],0,0
钩子neeix,保密,2020-06-04 11:58:14,烤洋芋是土豆还是马铃薯做的啊？,0,0
小猎手呀,女,2020-06-04 11:56:17,QAQ你们先别跑，真诚发问土豆还开花🌸？土豆还有紫色的？真的吗不会吧不会吧[哦呼],1,2
一只包肉喵,女,2020-06-04 11:55:59,难道没有人关注子柒的手指受伤了吗[酸了],0,0
盐值粉,女,2020-06-04 11:54:48,今天来晚了,0,0
蓝Doraemon,保密,2020-06-04 11:54:04,土豆的一生：发芽，生长，收货，蒸着吃煮着吃盐焗吃烤着吃做淀粉做虾饺做粉条。。。。。[笑哭],0,0
少年岛祭ss,保密,2020-06-04 11:53:46,土豆怎样做都好吃,0,0
Bili_21308069,保密,2020-06-04 11:53:34,就离谱，没见过紫土豆就算了还说个没完没了，红薯都有紫的土豆有紫的很奇怪吗[疑惑],0,0
夏年逝去终未去,男,2020-06-04 11:52:45,李子柒视频上YouTube榜了，前14,1,0
--ORaNGe--,保密,2020-06-04 11:52:38,土豆的一百种死法,0,0
天南知海北,保密,2020-06-04 11:51:39,老婆[热词系列_三连],0,0
小小昊子！,男,2020-06-04 11:51:19,真羡慕这刀工，我每次切土豆丝都切成土豆条,2,0
纯马小雪的土豆牛,女,2020-06-04 11:50:41,每次看都觉得好治愈！,0,0
萌宇菌,男,2020-06-04 11:50:39,嘿嘿，来了奥[doge],1,1
圣诗之章,保密,2020-06-04 11:46:39,每次都写好长[哦呼],0,0
御凌啊,保密,2020-06-04 11:46:34,啊啊啊我没收到推荐！,0,0
尐青年彡,男,2020-06-04 11:44:58,农耕哪有什么乐啊,0,4
Solitary東,保密,2020-06-04 11:44:47,5000楼。,0,0
笛卡尔の心魔,保密,2020-06-04 11:44:32,高考模拟题语文作文考出来你了李子柒,0,0
三心山念,保密,2020-06-04 11:43:58,先投币在慢慢看,0,0
つづき,保密,2020-06-04 11:43:23,子柒取名法 [热词系列_不愧是你],0,0
槛外人Spring,女,2020-06-04 11:42:57,我有一次在食堂点菜，要了炒土豆丝，土豆块儿，又要了土豆炖鸡块儿，盛饭的阿姨都笑了“你怎么光吃土豆”,1,0
面善的人啊,男,2020-06-04 11:42:35,这是一种享受(看视频)。,0,0
我妹有ID,女,2020-06-04 11:41:44,土豆迷来了,0,0
用金钱连续击打,男,2020-06-04 11:41:33,子柒姐姐家的螺蛳粉真的超好吃[打call][打call],1,0
遇事不决鲸骨开,保密,2020-06-04 11:40:50,来了来了来了,0,0
摸凹喵啊,保密,2020-06-04 11:40:45,这不是土豆。这是马铃薯啊,1,0
柒分天,男,2020-06-04 11:40:19,消化酶逐渐活跃,0,0
superzzZ超级小职,保密,2020-06-04 11:38:51,无敌！土豆炖排骨！最好吃的菜没有之一,1,0
想半月,保密,2020-06-04 11:38:09,地蛋的一生,1,0
咸鱼魏酒,保密,2020-06-04 11:37:03,土豆是好东西呀,0,0
可爱小染染,保密,2020-06-04 11:36:56,经过多次培育以后研制出土豆地雷[doge],0,0
新的一天从起床开始,保密,2020-06-04 11:36:19,我最爱土豆啦！,0,0
bnszd我磕到了,女,2020-06-04 11:33:55,姐姐好美啊,0,0
人悠悠,保密,2020-06-04 11:33:27,手指被切到了？,0,0
bili_99070354148,女,2020-06-04 11:33:26,子柒等你好久了,0,0
384的猫老师,保密,2020-06-04 11:33:21,土豆！从小吃到大怎么也吃不腻！[小电视_太太喜欢],0,0
ssy_jdfe,保密,2020-06-04 11:33:00,竟然还有紫色土豆,0,0
七氧化二氯,保密,2020-06-04 11:32:25,老妈问我为什么跪着看手机[doge],0,0
玉澈-伽罗布兜,保密,2020-06-04 11:32:13,老七土地,0,0
唯------------,保密,2020-06-04 11:32:04,土豆烧牛肉真的是。。。还有土豆泥我也爱,0,0
德农,男,2020-06-04 11:31:17,这么多吃不完可以给我[doge],0,0
VOS-a4,保密,2020-06-04 11:30:40,最爱土豆了！,0,0
Nati0n,保密,2020-06-04 11:30:24,摄影师好幸福,0,0
JHU333,保密,2020-06-04 11:29:55,来啦来啦[喜欢][喜欢][喜欢],0,0
安摧眉,保密,2020-06-04 11:29:44,萨沙看到了一定很开心[doge],1,0
小白龙391,女,2020-06-04 11:28:34,柒姐真厉[热词系列_害],0,0
啊咧一朵蘑菇,保密,2020-06-04 11:27:17,只要是土豆就喜欢[tv_点赞],0,0
低低语丶,男,2020-06-04 11:27:07,还是我机智，昨晚刷到姐姐视频，忍住今天早晨看，不然非点个大夜宵不可[小电视_太太喜欢][小电视_太太喜欢][小电视_太太喜欢],0,0
小饭桶KKK,女,2020-06-04 11:26:19,惊了，关于农作物有部分确实都是地区特产没见过很正常，但是为什么总有些人因为没见过所以不愿意去承认它是土豆？,0,0
容我天马行空,保密,2020-06-04 11:25:55,舒服,0,0
Ksyakira,保密,2020-06-04 11:25:38,下意识的看了一眼标题，真就土豆的一生呗[doge],0,0
GLSSUNSHAN,女,2020-06-04 11:24:04,看饿了,0,0
纳比比心,保密,2020-06-04 11:23:21,这才是 真 向往的生活！！！,0,0
当红女星张猫头,保密,2020-06-04 11:23:18,[酸了][酸了][酸了][酸了]俺太喜欢土豆了！！！,0,0
奶盖爱好者-,保密,2020-06-04 11:21:57,饿了😋🍱🍗🍤,0,0
just1justine,保密,2020-06-04 11:21:32,饿死了,0,0
小米---,男,2020-06-04 11:20:42,"我觉得没有人不爱吃土豆的吧！
一颗土豆大卸八块埋土里等啊等，
每一块都能结出好多好多小土豆！
每颗小土豆又能做成土豆烧排骨，酸辣土豆粉，土豆泥、土豆薯片…等等等等……
你的家乡还有没啥地道的土豆吃法啊？[doge]",1,0
妖薍子,女,2020-06-04 11:20:41,"希望姐姐能早点遇到陪伴你过余生的人,再生一个胖娃娃。希望有人陪伴你,替你分担[爱心]",0,0
萌域殿下,男,2020-06-04 11:16:31,得此女者得天下,3,0
壹米八三,保密,2020-06-04 11:16:05,怪不得我的土豆丝饼从来不成饼。,0,0
一蓑烟雨t,女,2020-06-04 11:16:01,"i土豆来了！！
不会吧不会吧不会真有人不喜欢土豆吧，这我接受不了的[OK]",0,0
表弟团团长,男,2020-06-04 11:15:00,怎么跟外国朋友介绍李子柒呢？[鼓掌],1,1
兜兜又那个叨叨,保密,2020-06-04 11:14:58,感谢在最美的年纪遇见最美的你,0,0
Jo-zy,男,2020-06-04 11:13:59,儿时，外婆家的土豆，每年放寒暑假都会去外婆家过，那时候不富裕，基本上天天吃土豆，但怎么吃都吃不腻。现在也如此。,0,0
两块加,保密,2020-06-04 11:13:50,劳作之美，好久没听过这词，挺新鲜,0,0
坏坏的猪兔子,女,2020-06-04 11:13:46,想问怎样防蛇？就医是不是不方便？尤其是老太太年纪这么大了。,0,2
烛寂drop,男,2020-06-04 11:12:10,哇，这也太强了吧,0,0
灵超鹅的小可爱,男,2020-06-04 11:11:25,微博看了 再看一遍我好喜欢姐姐 也好喜欢土豆,1,0
迈阿密大鲨鱼,保密,2020-06-04 11:09:36,说吃不胖的，你自己做别光吃，你也吃不胖,0,0
肆野桑,保密,2020-06-04 11:09:18,美是真美 贵是真贵,0,0
久橙猫,保密,2020-06-04 11:07:28,@roobs,0,0
allizzwell-fmr,保密,2020-06-04 11:06:12,我想艾特萨沙 但我不会[大哭],0,1
我有黑猫警长,保密,2020-06-04 11:05:29,切到手指了，小仙女要多注意哟，保护好自己,0,0
LoneStarメ,保密,2020-06-04 11:03:41,华农看了都想和up做兄弟,1,0
故渊呀呀,保密,2020-06-04 11:03:21,[热词系列_三连][热词系列_三连],0,0
就是喜欢汤泡饭,女,2020-06-04 11:01:14,子柒太棒了，真的太棒了。中华民族的骄傲。,0,0
筠一小茶,保密,2020-06-04 10:59:54,怪鲁洋芋，洋芋粑，烤洋芋,0,0
宇宙中唯一,保密,2020-06-04 10:58:47,小手切到了，小心点。心疼[拥抱],0,0
蓝色ぁ猫咪,女,2020-06-04 10:58:34,我一度相信西红柿炒蛋和土豆丝是不能一吃的，然后在学校发现一道菜就是西红柿炒土豆，我就觉得一定是鸡蛋，不能和土豆一起吃，后来发现都错了[视频卫星][视频卫星][视频卫星],1,0
TinaTina0518,女,2020-06-04 10:56:42,晚上我也做做土豆,0,0
秃噜西瓜皮,保密,2020-06-04 10:55:57,每次看她的视频总能感觉被治愈了！！,0,0
竹林野猫,保密,2020-06-04 10:55:23,好喜欢,0,0
一起去抓人外娘啊,保密,2020-06-04 10:54:44,原来这就是土豆饼 ，学校食堂那什么玩意[囧]，完全不像嘛,0,0
讲正义的王几233,保密,2020-06-04 10:52:55,你老汉儿也喜欢吃这个土豆丝[大哭][大哭][大哭][大哭][大哭],0,0
网络批评家,保密,2020-06-04 10:51:51,小清新农活？就伪农民一个，真实的农村生活是这样的吗？你这样消费农民，良心不会痛吗？,1,6
我是蓝蓝的天,保密,2020-06-04 10:48:25,这种生活真好,0,0
威士忌和麦酒,男,2020-06-04 10:45:46,馋哭了[大哭],0,0
土御门元春LV0,保密,2020-06-04 10:45:43,"这刀功，真的好。反正我没基础，真是羡慕。
土豆丝我喜欢，但目前仅限于酸辣土豆丝
砂锅土豆粉好吃",0,0
吉林欢哥,男,2020-06-04 10:44:47,这是馋死人不要命，吉林人路过。,0,0
东坡和西坡,保密,2020-06-04 10:44:28,虽然在微博上看过了，我再来看一遍，只为送上一键三连。,0,0
Moonie00,女,2020-06-04 10:43:23,又馋了[酸了],0,0
SB的BS,男,2020-06-04 10:41:38,wonderful video， love from China,1,0
抑郁之兰陵王假面,男,2020-06-04 10:39:26,土豆里有种顶级的品种叫乌洋芋，好像只有西南有，那个黑的是乌洋芋吧？,0,0
绿柚子zzz,保密,2020-06-04 10:39:17,我看个土豆突然想吃芒果了,0,0
盐烤的老鱼,女,2020-06-04 10:39:14,这也太治愈了吧…[tv_流泪],0,0
冰加不水汽柠青,保密,2020-06-04 10:38:24,来了来了,0,0
粥小盐,女,2020-06-04 10:33:21,土豆发青的地方一定要切掉再吃啊，不然也有毒素的~,0,0
萝南,女,2020-06-04 10:31:39,姐姐瑞思拜我要说一万遍👍,0,0
寒冰128,男,2020-06-04 10:31:35,哇哦，仙女又来了☺️,0,0
爱吃好吃的小丸子,保密,2020-06-04 10:28:04,李子柒缺不缺打杂的呀[大哭]不为别的  不要工资  管吃就🉑,0,0
